연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2023,하,재공급,20B,로프트시티,"서울특별시 영등포구 영등포로 244 (로프트시티, 영등포동3가 3-3외)",영등포구,B,5분,0.000664,1순위,5점,83
2023,하,재공급,40A,남양파크빌,"서울특별시 영등포구 도림로48길 9 (남양파크빌, 대림동 700-28)",영등포구,B,6분,0.000664,1순위,5점,83
2023,하,재공급,26A,다이알로그191,"서울특별시 은평구 갈현로11길 26-11 (다이알로그191, 구산동 549)",은평구,C,20분,0.000286822,2순위,7점,37
2023,하,재공급,25B,리츠하우스2,"서울특별시 은평구 갈현로11가길 14-4 (리츠하우스2, 구산동 177-53)",은평구,C,13분,0.000286822,2순위,4점,37
2023,하,재공급,33A,남산의아침 A동,"서울특별시 중구 필동로8길 50-9 (남산의아침 A동, 필동2가 84-12외)",중구,A,8분,0.000297297,1순위,8점,11
2023,하,재공급,28A,HwellsPARK장충1,"서울특별시 중구 장충단로6길 45 (HwellsPARK장충1, 장충동1가 50-2)",중구,A,5분,0.000297297,1순위,8점,11
2024,상,재공급,-,백년빌,"서울특별시 강남구 개포로24길 13 (개포동 1216-7, 백년빌)",강남구,A,13분,0.000184211,1순위,8점,28
2024,상,재공급,-,백년빌,"서울특별시 강남구 도곡로18길 10 (도곡동 547-11, 백년빌)",강남구,A,10분,0.000184211,1순위,8점,28
2024,상,재공급,-,백년빌,"서울특별시 강남구 학동로20길 63-6 (논현동 158-26, 백년빌)",강남구,A,6분,0.000184211,1순위,3점,28
2024,상,재공급,31B,희준빌,"서울특별시 강남구 논현로121길 35 (논현동 173-5, 희준빌)",강남구,A,6분,0.000184211,1순위,9점,28
2024,상,재공급,38A,와이디하우스,"서울특별시 강동구 구천면로35길 27 (천호동 391-21,26, 와이디하우스)",강동구,C,10분,0.001442597,1순위,2점,144
2024,상,재공급,26A,은슬림7,"서울특별시 강동구 진황도로23길 20-1 (천호동 541-2,3, 은슬림7)",강동구,C,7분,0.001442597,1순위,3점,144
2024,상,재공급,26B,은슬림7,"서울특별시 강동구 진황도로23길 20-1 (천호동 541-2,3, 은슬림7)",강동구,C,7분,0.001442597,2순위,8점,144
2024,상,재공급,30A,은슬림8,"서울특별시 강동구 진황도로23길 22 (천호동 541외, 은슬림8 )",강동구,C,7분,0.001442597,1순위,6점,144
2024,상,재공급,29B,WISH희망,"서울특별시 강동구 천호대로168다길 6 (성내동 155-6, WISH희망)",강동구,C,3분,0.001442597,1순위,3점,144
2024,상,재공급,27A,Hwells PARK 천호1,"서울특별시 강동구 진황도로29길 35-3 (천호동 167-32, Hwells PARK 천호1)",강동구,C,5분,0.001442597,1순위,5점,144
2024,상,재공급,29B,현도빌리지5,"서울특별시 강동구 아리수로66길 14 (고덕동 532-1, 현도빌리지5)",강동구,C,10분,0.001442597,2순위,6점,144
2024,상,재공급,43A,현도빌리지5,"서울특별시 강동구 아리수로66길 14 (고덕동 532-1, 현도빌리지5)",강동구,C,10분,0.001442597,2순위,8점,144
2024,상,재공급,36A,허브빌,"서울특별시 강동구 올림픽로98가길 31-6 (암사동 493-15, 허브빌)",강동구,C,5분,0.001442597,1순위,8점,144
2024,상,재공급,남성/29A,해담빌,"서울특별시 강동구 구천면로40길 7 (천호동 237-27, 해담빌)",강동구,C,10분,0.001442597,2순위,8점,144
2024,상,재공급,35A,강동서영스윗홈,"서울특별시 강동구 천중로48길 9-13 (길동 349-9, 강동서영스윗홈)",강동구,C,5분,0.001442597,2순위,8점,144
